Rank,Name,Rating,Year
93, Star Wars: Episode VI - Return of the Jedi,8.3 ,1983
94, Eternal Sunshine of the Spotless Mind,8.3 ,2004
95, Jagten,8.3 ,2012
96, 2001: A Space Odyssey,8.3 ,1968
97, Reservoir Dogs,8.3 ,1992
98, Ikiru,8.3 ,1952
99, Lawrence of Arabia,8.3 ,1962
100, The Apartment,8.3 ,1960
101, Citizen Kane,8.3 ,1941
102, North by Northwest,8.3 ,1959
103, M - Eine Stadt sucht einen Mörder,8.3 ,1931
104, Vertigo,8.3 ,1958
105, Double Indemnity,8.3 ,1944
106, Scarface,8.3 ,1983
107, Le fabuleux destin d'Amélie Poulain,8.3 ,2001
108, Incendies,8.3 ,2010
109, Full Metal Jacket,8.3 ,1987
110, A Clockwork Orange,8.3 ,1971
111, Heat,8.3 ,1995
112, Up,8.3 ,2009
113, Poor Things,8.4 ,2023
114, To Kill a Mockingbird,8.3 ,1962
115, The Sting,8.3 ,1973
116, Jodaeiye Nader Az Simin,8.3 ,2011
117, Indiana Jones and the Last Crusade,8.2 ,1989
118, Hamilton,8.3 ,2020
119, Die Hard,8.2 ,1988
120, Metropolis,8.3 ,1927
121, Taare Zameen Par,8.3 ,2007
122, Snatch,8.2 ,2000
123, Ladri Di Biciclette,8.3 ,1948
124, L,8.2 ,1997
125,1917,8.2 ,2019
126, Taxi Driver,8.2 ,1976
127, Der Untergang,8.2 ,2004
128, Dangal,8.3 ,2016
129, Per qualche dollaro in più,8.2 ,1965
130, Batman Begins,8.2 ,2005
131, Some Like It Hot,8.2 ,1959
132, The Wolf of Wall Street,8.2 ,2013
133, The Kid,8.2 ,1921
134, Green Book,8.2 ,2018
135, The Father,8.2 ,2020
136, Top Gun: Maverick,8.3 ,2022
137, All About Eve,8.2 ,1950
138, Judgment at Nuremberg,8.3 ,1961
139, The Truman Show,8.2 ,1998
140, There Will Be Blood,8.2 ,2007
141, Shutter Island,8.2 ,2010
142, Casino,8.2 ,1995
143, Ran,8.2 ,1985
144, Jurassic Park,8.2 ,1993
145, El Laberinto Del Fauno,8.2 ,2006
146, The Sixth Sense,8.2 ,1999
147, Unforgiven,8.2 ,1992
148, A Beautiful Mind,8.2 ,2001
149, No Country for Old Men,8.2 ,2007
150, The Treasure of the Sierra Madre,8.2 ,1948
151, Yojimbo,8.2 ,1961
152, The Thing,8.2 ,1982
153, Kill Bill: Vol,8.2 ,2003
154, Monty Python and the Holy Grail,8.2 ,1975
155, The Great Escape,8.2 ,1963
156, Finding Nemo,8.2 ,2003
157, Rash?mon,8.2 ,1950
158, The Elephant Man,8.2 ,1980
159, Hauru No Ugoku Shiro,8.2 ,2004
160, Chinatown,8.1 ,1974
161, Prisoners,8.1 ,2013
162, Dial M for Murder,8.2 ,1954
163, Gone with the Wind,8.2 ,1939
164, V for Vendetta,8.2 ,2005
165," Lock, Stock and Two Smoking Barrels",8.1 ,1998
166, El Secreto De Sus Ojos,8.2 ,2009
167, Raging Bull,8.1 ,1980
168, Inside Out,8.1 ,2015
169," Three Billboards Outside Ebbing, Missouri",8.1 ,2017
170, Trainspotting,8.1 ,1996
171, The Bridge on the River Kwai,8.1 ,1957
172, Spider-Man: No Way Home,8.2 ,2021
173, Fargo,8.1 ,1996
174, Warrior,8.1 ,2011
175, Klaus,8.2 ,2019
176, Catch Me If You Can,8.1 ,2002
177, Godzilla Minus One,8.3 ,2023
178, Gran Torino,8.1 ,2008
179, My Neighbour Totoro,8.1 ,1988
180, Million Dollar Baby,8.1 ,2004
181, Harry Potter and the Deathly Hallows: Part 2,8.1 ,2011
182, Bacheha-Ye Aseman,8.2 ,1997
183, Blade Runner,8.1 ,1982
184, 12 Years a Slave,8.1 ,2013
185, Before Sunrise,8.1 ,1995
186, The Grand Budapest Hotel,8.1 ,2014
187, Ben-Hur,8.1 ,1959
188, Barry Lyndon,8.1 ,1975
189, Gone Girl,8.1 ,2014
190, The Gold Rush,8.1 ,1925
191, Hacksaw Ridge,8.1 ,2016
192, In the Name of the Father,8.1 ,1993
193, Salinui Chueok,8.1 ,2003
194, On the Waterfront,8.1 ,1954
195, The General,8.1 ,1926
196, The Deer Hunter,8.1 ,1978
197, Dead Poets Society,8.1 ,1989
198, Relatos Salvajes,8.1 ,2014
199, Mad Max: Fury Road,8.1 ,2015
200, Smultronstället,8.1 ,1957
201, The Third Man,8.1 ,1949
202, Sherlock Jr,8.2 ,1924
203, Le Salaire De La Peur,8.2 ,1953
204," Monsters, Inc",8.1 ,2001
205, Jaws,8.1 ,1975
206, How to Train Your Dragon,8.1 ,2010
207, Mr,8.1 ,1939
208, Mary and Max,8.1 ,2009
209, Ford v,8.1 ,2019
210, Ratatouille,8.1 ,2007
211, Det Sjunde Inseglet,8.1 ,1957
212, Room,8.1 ,2015
213, The Big Lebowski,8.1 ,1998
214, Tokyo Story,8.1 ,1953
215, Rocky,8.1 ,1976
216, Hotel Rwanda,8.1 ,2004
217, Logan,8.1 ,2017
218, Spotlight,8.1 ,2015
219, Platoon,8.1 ,1986
220, The Terminator,8.1 ,1984
221, La passion de Jeanne d'Arc,8.1 ,1928
222, Before Sunset,8.1 ,2004
223, Jai Bhim,8.7 ,2021
224, The Best Years of Our Lives,8.1 ,1946
225, La haine,8.1 ,1995
226, Rush,8.1 ,2013
227, Network,8.1 ,1976
228, The Exorcist,8.1 ,1973
229, Stand by Me,8.1 ,1986
230, Pirates of the Caribbean: The Curse of the Black Pearl,8.1 ,2003
231, The Wizard of Oz,8.1 ,1939
232, The Incredibles,8.0 ,2004
233, Into the Wild,8.1 ,2007
234, Hachi: A Dog's Tale,8.1 ,2009
235, Ah-ga-ssi,8.1 ,2016
236, To Be or Not to Be,8.1 ,1942
237, La battaglia di Algeri,8.1 ,1966
238, My Father and My Son,8.2 ,2005
239, The Grapes of Wrath,8.1 ,1940
240, Groundhog Day,8.0 ,1993
241, The Sound of Music,8.1 ,1965
242, Amores perros,8.1 ,2000
243, Rebecca,8.1 ,1940
244, Cool Hand Luke,8.1 ,1967
245, The Iron Giant,8.1 ,1999
246, The Help,8.1 ,2011
247, It Happened One Night,8.1 ,1934
248, The 400 Blows,8.1 ,1959
249, Drishyam,8.2 ,2015
250, Gangs of Wasseypur,8.2 ,2012
